"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Díaz, Yandy",650490,2021,541,15.7,12.8,".325",".332",28.9,7,40.6,"101.639064531","95.019968229",67,18.9,61.9,50.6,79.9,6.6,2031,86.2,49.4,43.7,19.3,42.6
"Lowe, Nathaniel",663993,2021,642,25.2,12.5,".337",".323",31.4,9.5,45.5,"101.920030352","95.281020854",66.4,22.9,60.9,49.9,73,7.4,2691,81.8,50.1,44.7,23.5,44.7
"Arozarena, Randy",668227,2021,604,28.1,9.3,".350",".304",29.7,8.2,42.3,"101.268214833","94.942033565",66.4,24.8,50.5,53.4,78.7,7.6,2479,74.3,46.6,40.7,32.6,44.2
"O'Neill, Tyler",641933,2021,537,31.3,7.1,".384",".389",39.9,17.9,52.2,"104.172238365","97.016212516",73.8,27.6,44.1,52,82.3,7.1,2070,73.9,48,41.9,34.7,49.8
"Castellanos, Nick",592206,2021,585,20.7,7,".391",".374",44,10.6,46.9,"101.478243413","95.160421779",78.9,36.2,51.3,56,88.4,6.9,2143,79.8,44,41.3,30.7,55
"Hosmer, Eric",543333,2021,565,17.5,8.5,".319",".326",26.6,5.8,47,"102.446751471","95.653349314",67,31.8,61.8,53.1,81.9,6.3,2200,85.4,46.9,42.4,22.9,48.3
"Merrifield, Whit",593160,2021,720,14.3,5.6,".306",".301",40,3.5,28.8,"96.198273099","92.10313669",71.3,29,71.1,50.4,82.3,7.6,2608,85.9,49.6,42.4,18.3,50
"Tatis Jr., Fernando",665487,2021,546,28,11.4,".403",".407",33.1,21.3,55.6,"105.698422927","97.793088537",80.1,29,42.1,56,90.5,6.9,2141,75.5,44,39.7,34.8,51.5
"Canha, Mark",592192,2021,625,20.5,12.3,".333",".332",36.1,7.1,35.4,"97.938321269","93.004303181",61.4,20.7,61.2,51.3,76.4,7.7,2642,84.7,48.7,42.5,21.5,40.5
"Crawford, Brandon",543063,2021,549,19.1,10.2,".377",".356",35.8,11.5,43.3,"99.818696492","94.078049948",77.6,27.9,47.6,52.2,86,7.4,2136,79.6,47.8,43.9,29.3,51.7
"Candelario, Jeimer",600869,2021,626,21.6,10.4,".344",".356",38.6,9,39.1,"99.820428626","94.030826508",68.6,29.2,59.3,53.3,76.8,6.4,2547,84.6,46.7,44.2,23.5,47.6
"Betts, Mookie",605141,2021,550,15.6,12.4,".365",".357",34,7.8,41,"99.139157135","94.102277154",63.9,18.1,61.5,51.4,73.1,8.2,2232,89.8,48.6,42.8,16.8,40.4
"Straw, Myles",664702,2021,638,19,10.5,".311",".303",42.6,1.3,26.2,"95.725614253","91.886357172",59.6,19.1,73.4,47.5,72.6,8.9,2653,89.9,52.5,41.9,13.6,40.4
"Votto, Joey",458015,2021,533,23.8,14.4,".391",".406",44.3,17.2,53.2,"102.539441104","96.093851969",67.9,22,50.8,52.2,81.5,6.8,2232,77.6,47.8,41.5,29.4,43.9
"Ramírez, José",608070,2021,636,13.7,11.3,".372",".376",33.4,11.1,42.4,"100.831039528","94.777982232",64.5,24.1,71.1,53.2,69.4,7,2675,91.1,46.8,42.6,14.9,43
"India, Jonathan",663697,2021,631,22.3,11.3,".363",".352",33.6,9.6,38.6,"99.492120758","93.903783494",56.9,21.9,55.6,51.3,68.4,7.3,2643,82.7,48.7,42.9,25.1,39
