"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Reynolds, Bryan",668804,2024,692,22.5,8.2,".343",".350",37.5,9.6,45.4,"100.987209316","94.867542484",74,30.2,48,53.8,86.2,6.4,2604,81.3,46.2,43.6,29.4,50.4
"Hoskins, Rhys",656555,2024,517,28.8,10.3,".313",".301",29.7,12.7,42.2,"99.737434248","94.057895065",59.3,25.4,61,48.6,71.2,7.9,2243,78.8,51.4,43.4,26.3,42.8
"Chisholm Jr., Jazz",665862,2024,621,24.5,8.5,".327",".316",29.6,9.7,41.1,"100.122466782","94.459141861",67.1,29.2,55.7,51.6,76.7,7.6,2495,75.2,48.4,42.3,29.3,47.5
"Walker, Christian",572233,2024,552,24.1,10,".343",".351",35,13.3,48,"103.127969548","96.011102521",73.1,24.3,51.2,51.4,78,7.9,2315,82.5,48.6,41.6,25.6,48
"Gurriel Jr., Lourdes",666971,2024,553,18.3,5.2,".327",".319",33.8,6.7,40,"99.549348469","93.921850288",69.5,32.9,62.3,50.3,77.8,7.3,2083,88.2,49.7,41.7,20.2,51.1
"France, Ty",664034,2024,535,21.3,7.1,".296",".303",30.5,7.3,40,"99.663679892","94.004650595",74.7,26.9,53.5,49.3,83.1,7.3,2028,83.6,50.7,42.5,24.2,51.2
"Hoerner, Nico",663538,2024,641,10.3,6.9,".313",".313",36,1.2,27.6,"95.980926525","91.993965849",63.7,31.8,77.5,48.3,71.3,7.4,2314,92.7,51.7,43.6,11.9,48.4
"Duran, Jarren",680776,2024,735,21.8,7.3,".357",".338",33.8,9.3,43.9,"101.928155512","95.341113209",68.2,28.1,52.6,49.7,78.5,7.2,2844,84.1,50.3,42.7,24.8,48.3
"Santander, Anthony",623993,2024,665,19.4,8.7,".345",".324",35,11.7,41.6,"100.325476894","94.357156511",67.8,33.8,72,53.2,73,6.8,2738,84.6,46.8,42.5,20,49.7
"Alvarez, Yordan",670541,2024,635,15,10.9,".402",".411",35.4,14.5,49.7,"104.097105087","96.703519522",68,30.5,63.5,53.9,79.1,6.1,2264,88.5,46.1,43.5,19.9,47.8
"Mountcastle, Ryan",663624,2024,507,22.5,5.3,".316",".332",36.2,8.8,45.2,"102.105716923","95.370233104",75.8,38,58.6,52.2,84.6,7.8,1901,83.8,47.8,42.6,25.1,56.1
"Seager, Corey",608369,2024,533,18,9.9,".365",".390",38.6,15.2,50.7,"103.274395474","96.157523456",79.5,27.8,49.8,51.2,90.2,7.1,1872,86.5,48.8,43.6,23.4,53
