"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","oz_swing_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","meatball_percent","pitch_count","iz_contact_percent","in_zone_percent","edge_percent","whiff_percent","swing_percent"
"Profar, Jurickson",595777,2023,521,17.3,9.6,".304",".306",37.7,4,31.8,"97.18982877","92.606877674",68.8,25.1,58,49.5,82.6,7.1,2104,87.6,50.5,42.9,20,47.2
"Harper, Bryce",547180,2023,546,21.8,14.7,".384",".399",36.8,15.2,46.8,"103.839812899","96.235486154",77.9,33.4,46.8,59.5,91.2,6.2,2021,78.6,40.5,42.3,33.5,51.4
"Ozuna, Marcell",542303,2023,592,22.6,9.6,".381",".393",34.9,16.6,49,"103.257673232","96.232240934",69.8,29.7,53.6,53.3,84.8,6.7,2366,82.9,46.7,41.9,26.7,48.4
"Crawford, J.P.",641487,2023,638,19.6,14.7,".359",".340",35.3,4.8,36.2,"99.143101569","93.649442623",58.4,18.6,62.1,49.8,74.2,8.6,2629,87,50.2,41.9,18.6,38.6
"Arraez, Luis",650333,2023,617,5.5,5.7,".369",".354",44.7,3.5,25.7,"95.658900664","92.009454214",68.6,31.8,87.2,47.8,77.2,8.9,2161,93.8,52.2,42.8,7.9,51
"Friedl Jr., TJ",670770,2023,556,16.2,8.5,".353",".289",32,3.2,27.6,"96.368739947","92.196228515",59,24.6,61.9,49.1,68.7,8.2,2194,86.7,50.9,42.7,18.4,42.2
"Rooker Jr., Brent",667670,2023,526,32.7,9.3,".348",".343",37.3,15.6,49.5,"102.653891351","95.962225864",66.1,27.3,35.5,51.7,73.1,7.2,2152,73.4,48.3,42.1,38.2,46.1
"Turner, Justin",457759,2023,626,17.6,8.1,".346",".336",36.8,5.7,39,"98.567368238","93.587032225",63.5,25.7,68.9,49.2,74.3,8.3,2670,87.8,50.8,41.6,17.5,45
"Ohtani, Shohei",660271,2023,599,23.9,15.2,".433",".427",35.6,19.6,54.2,"105.748559101","97.769057809",70.5,29.7,51.5,54.6,73.9,6.6,2321,76,45.4,42.5,32.3,48.2
"Kwan, Steven",680757,2023,718,10.4,9.7,".313",".317",37.7,1.1,18.8,"94.063409324","91.031738203",59,21.3,72.7,47.3,65.4,8.4,2843,93.6,52.7,42.5,11.2,41.2
"Marte, Ketel",606466,2023,650,16.8,10.9,".361",".342",30.8,8,42.8,"101.585403319","95.10445528",67.2,24.5,61.7,50.7,75.7,7.3,2483,85.8,49.3,44.4,20.5,45.5
"Freeman, Freddie",518692,2023,730,16.6,9.9,".411",".408",46.6,11.1,42.2,"100.590638269","94.617661541",76.1,26.9,63.1,51,91.5,6.9,2753,85.7,49,42.3,20.4,51
"Riley, Austin",663586,2023,715,24.1,8.3,".363",".365",35.2,13.9,49.2,"103.384251814","96.274145591",69.9,27.3,55.4,51.1,76.9,7.6,2861,79.1,48.9,40.9,27.8,48.2
"Abreu, José",547989,2023,594,21.9,7.1,".295",".314",32.5,8.7,41.6,"100.821833606","94.59770588",65.2,36.3,59.5,52.1,73.3,6.7,2400,82.1,47.9,42.6,26.4,50.1
"Melendez Jr., MJ",669004,2023,602,28.2,10.3,".310",".325",34.6,11.4,49.6,"101.434950217","95.609327411",69.3,26.8,47.6,50.4,86.7,7.4,2440,72.5,49.6,43.5,34.4,47.9
"McMahon, Ryan",641857,2023,627,31.6,10.8,".325",".335",39.4,11.4,44.2,"102.017798324","95.343043101",67.6,25.4,49.7,47.9,80.7,7.4,2742,73.6,52.1,45.3,32.3,47.4
"Correa, Carlos",621043,2023,580,22.6,10.2,".309",".327",31.1,9.6,45.9,"102.481230628","95.635527984",62.1,26.7,57,52.4,65.2,6.1,2257,83.4,47.6,40.9,25.1,43.6
"Nimmo, Brandon",607043,2023,682,21.4,10.9,".359",".352",33.5,9.5,47.9,"101.50757","95.462726837",62.3,19.9,55.1,47.1,73,8.3,2847,84.3,52.9,42.1,22,42.4
"Hoerner, Nico",663538,2023,688,12.1,7.1,".322",".311",33.2,1.8,33.4,"97.320472852","92.695131651",60.5,30.5,74.9,49.5,63.2,8.2,2539,93,50.5,41.4,12.5,45.6
"Muncy, Max",571970,2023,579,26.4,14.7,".344",".364",33.7,14.6,46.6,"101.315308623","95.11269018",57.2,23.5,51.6,53.3,65.7,6.9,2485,79.2,46.7,42.4,29.6,39.3
"Soler, Jorge",624585,2023,580,24.3,11.4,".361",".374",36.5,15,48,"103.053956467","95.950783079",66.7,25.6,55.1,54.9,79.6,6.3,2315,80.5,45.1,41.7,27.6,44.1
"Witt Jr., Bobby",677951,2023,694,17.4,5.8,".343",".369",34.4,11.5,45.6,"102.080606768","95.411820457",71,30.6,63.5,50.9,83.6,7.7,2701,83.3,49.1,41.5,22.8,50.5
"Ruiz, Keibert",660688,2023,562,10.3,5.5,".310",".322",39.4,5.8,31.9,"97.263733176","92.681495075",66.6,36.5,74.9,51.5,74,6.7,1887,92,48.5,43.1,14.3,51.1
"France, Ty",664034,2023,665,17.6,6.5,".315",".342",36.9,6.8,38.6,"99.277871319","93.765945224",74,33.3,54.9,51.3,80.9,7.5,2425,89.1,48.7,44,21.9,53.2
